"","site.x","substance","loc_batch","uchem_id","smiles","cas","x4lettercode","location","replicate","substance_class","own_istd","log_koc_4","abiotic_transformation","cationic_at_p_h8","bioaccumulation_anna","sorption_visual","iontrapping_visualdigi_bf","sorption_flag","final_excl","background","sorp_control","n_time_points","r2","p","k","kmin","greater_kmax","neg_k","classification","cluster","koriginal","sub_clus","qualityflag","loc_site","mean_ps_extract_ng_l","site.y","q3","q1","median","ps_loclimit","ps_locnorm","log_k","mean_logk","sd_logk","variance_logk","logk_scalebatch"
"1","up1","4-Chloro-N,N-dimethylbenzamide","air_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","air","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,0.689332381607481,0.00559558418365641,0.00317434828253452,FALSE,FALSE,FALSE,"IN",6,0.00317434828253452,"4-Chloro-N,N-dimethylbenzamide_6",FALSE,"air_up1",NA,"up1",2636.2425,421.837931263943,1150.5635,NA,NA,-2.4983454251285,-2.80276112668591,0.206356952035945,0.206356952035945,-0.561632869339663
"2","up1","4-Chloro-N,N-dimethylbenzamide","alt_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","alt","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.300218030404448,0.12670423478045,0.00109750537143569,TRUE,FALSE,FALSE,"IN",6,0.000863665050718773,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"alt_up1",NA,"up1",7418.424,486.350375,2164.331,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.999045436554042
"3","up1","4-Chloro-N,N-dimethylbenzamide","bir_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","bir","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.0188005925217591,0.725010450039851,0.00109750537143569,TRUE,FALSE,TRUE,"IN",6,-0.00016332879866928,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"bir_up1",NA,"up1",8393.7695,467.4405,2263.22976506139,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.852287461612978
"4","up1","4-Chloro-N,N-dimethylbenzamide","ehr_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","ehr","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.0942291863936214,0.421696990333377,0.00109750537143569,TRUE,FALSE,TRUE,"IN",6,-0.000651778837911463,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"ehr_up1",NA,"up1",8198.72,627.92475,2504.99875,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.848789394341974
"5","up1","4-Chloro-N,N-dimethylbenzamide","kol_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","kol","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.599679763141751,0.0142884147605425,0.00136636763437353,FALSE,FALSE,FALSE,"IN",6,0.00136636763437353,"4-Chloro-N,N-dimethylbenzamide_6",FALSE,"kol_up1",NA,"up1",7464.0815,431.384875,1533.95525,NA,NA,-2.86443243381802,-2.80276112668591,0.206356952035945,0.206356952035945,-0.914888385293016
"6","up1","4-Chloro-N,N-dimethylbenzamide","oli_up1_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","oli","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,0.615168187341926,0.0123330366586403,0.00246713983551643,FALSE,FALSE,FALSE,"IN",6,0.00246713983551643,"4-Chloro-N,N-dimethylbenzamide_6",FALSE,"oli_up1",NA,"up1",1635.653,192.0935,555.6,NA,NA,-2.6078062343481,-2.80276112668591,0.206356952035945,0.206356952035945,-0.5894708321017
"7","up2","4-Chloro-N,N-dimethylbenzamide","air_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","air","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,0.586128625608571,0.0161844301308044,0.00334896942027167,FALSE,FALSE,FALSE,"IN",6,0.00334896942027167,"4-Chloro-N,N-dimethylbenzamide_6",FALSE,"air_up2",NA,"up2",2636.2425,421.837931263943,1150.5635,NA,NA,-2.47508881802236,-2.80276112668591,0.206356952035945,0.206356952035945,-0.636931757145681
"8","up2","4-Chloro-N,N-dimethylbenzamide","alt_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","alt","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.326547398386368,0.107974515714003,0.00109750537143569,TRUE,FALSE,FALSE,"IN",6,0.000685766890298076,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"alt_up2",NA,"up2",7418.424,486.350375,2164.331,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.918371430013364
"9","up2","4-Chloro-N,N-dimethylbenzamide","bir_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","bir","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.00468370396207789,0.861123104706318,0.00109750537143569,TRUE,FALSE,TRUE,"IN",6,-9.59848077129233e-05,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"bir_up2",NA,"up2",8393.7695,467.4405,2263.22976506139,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.969825297985712
"10","up2","4-Chloro-N,N-dimethylbenzamide","ehr_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","ehr","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.204668486203943,0.221445100301348,0.00109750537143569,TRUE,FALSE,FALSE,"IN",6,0.000754566081995072,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"ehr_up2",NA,"up2",8198.72,627.92475,2504.99875,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.919755305637534
"11","up2","4-Chloro-N,N-dimethylbenzamide","kol_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","kol","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.20954406278134,0.215335911475923,0.00109750537143569,TRUE,FALSE,FALSE,"IN",6,0.000547020011381168,"4-Chloro-N,N-dimethylbenzamide_6",TRUE,"kol_up2",NA,"up2",7464.0815,431.384875,1533.95525,NA,NA,-2.95959334554673,-2.80276112668591,0.206356952035945,0.206356952035945,-0.988243816255954
"12","up2","4-Chloro-N,N-dimethylbenzamide","oli_up2_r1",10999,"CN(C)C(=O)C1=CC=C(C=C1)Cl","14062-80-7","CHDI","oli","r1","Industrial Chemical",NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,0.590110828034315,0.01560855546662,0.00408607216711864,FALSE,FALSE,FALSE,"IN",6,0.00408607216711864,"4-Chloro-N,N-dimethylbenzamide_6",FALSE,"oli_up2",NA,"up2",1635.653,192.0935,555.6,NA,NA,-2.38869396724233,-2.80276112668591,0.206356952035945,0.206356952035945,-0.633823531314978
